TICKER,NAME,DATES_IN,DATES_OUT,SECTOR
BAX,BAXTER INTERNATIONAL INC.,,,HEALTHCARE
TFC,TRUIST FINANCIAL.,,,FINANCIALS
BEAM,BEAM INC.,,20140501,CONSUMER NON CYCLICALS
BDX,BECTON DICKINSON & CO.,,,HEALTHCARE
BBBY,BED BATH & BEYOND INC.,,20170726,CONSUMER CYCLICALS
BMS,BEMIS CO. INC.,20190607,20141205-20190611,BASIC MATERIALS
WRB,W.R. BERKLEY CORP.,20191205,,FINANCIALS
BRKb,BERKSHIRE HATHAWAY INC.,20101215,,FINANCIALS
BBY,BEST BUY CO. INC.,,,CONSUMER CYCLICALS
BIG,BIG LOTS INC.,,20130215,CONSUMER CYCLICALS
BIIB,BIOGEN IDEC INC.,,,HEALTHCARE
BJS,BJ SERVICES CO.,,20100429,ENERGY
BDK,BLACK & DECKER CORP.,,20100312,CONSUMER CYCLICALS
BLK,BLACKROCK INC.,20110401,,FINANCIALS
BMC,BMC SOFTWARE INC.,,20130910,TECHNOLOGY
BA,BOEING CO.,,,INDUSTRIALS
BWA,BORGWARNER INC.,20111216,,CONSUMER CYCLICALS
BXP,BOSTON PROPERTIES INC.,,,REAL ESTATE
BSX,BOSTON SCIENTIFIC CORP.,,,HEALTHCARE
BHF,BRIGHTHOUSE FINANCIAL CORP.,20170807,20190402,FINANCIALS
BMY,BRISTOL-MYERS SQUIBB CO.,,,HEALTHCARE
BRCM,BROADCOM CORP.,,20160201,TECHNOLOGY
BR,BROADRIDGE FINANCIAL SOLUTIONS INC.,20180618,,INDUSTRIALS
BFb,BROWN-FORMAN CORP.,,,CONSUMER NON CYCLICALS
BC,BRUNSWICK CORP.,,20080620,CONSUMER CYCLICALS
BNI,BURLINGTON NORTHERN SANTA FE,,20100215,INDUSTRIALS
BR1,BURLINGTON RESOURCES INC.,,20060323,ENERGY
CHRW,C.H. ROBINSON WORLDWIDE INC.,20070301,,INDUSTRIALS
BCR,C.R. BARD INC.,,20180103,HEALTHCARE
CA,CA TECHNOLOGIES INC.,,20181106,TECHNOLOGY
CVC,CABLEVISION SYSTEMS CORP.,20101217,20160622,CONSUMER CYCLICALS
CTRA,COTERRA ENERGY CORP.,20080620,,ENERGY
CAM,CAMERON INTERNATIONAL CORP.,,20160404,ENERGY
CPB,CAMPBELL SOUP CO.,,,CONSUMER NON CYCLICALS
COF,CAPITAL ONE FINANCIAL CORP.,,,FINANCIALS
CAH,CARDINAL HEALTH INC.,,,HEALTHCARE
CFN,CAREFUSION CORP.,20090831,20150318,HEALTHCARE
KMX,CARMAX INC.,20100628,20080328,CONSUMER CYCLICALS
CCL,CARNIVAL CORP.,,,CONSUMER CYCLICALS
CAT,CATERPILLAR INC.,,,INDUSTRIALS
CBOE,CBOE HOLDINGS INC.,20170301,,FINANCIALS
CBRE,CB RICHARD ELLIS GROUP INC.,,,REAL ESTATE
PARAA,PARAMOUNT GLOBAL CORP.,,,TELECOMMUNICATIONS SERVICES
CE,CELANESE CORP.,20181224,,BASIC MATERIALS
CELG,CELGENE CORP.,,20191121,HEALTHCARE
CNC,CENTENE CORP.,20160330,,HEALTHCARE
CNP,CENTERPOINT ENERGY INC.,,,UTILITIES
CTX,CENTEX CORP.,,20090818,FINANCIALS
LUMN,LUMEN TECHNOLOGIES INC.,,20230320,TELECOMMUNICATIONS SERVICES
CEPH,CEPHALON INC.,20081112,20111014,BASIC MATERIALS
CERN,CERNER CORP.,20100429,20220608,HEALTHCARE
CF,CF INDUSTRIES HOLDINGS INC.,,,BASIC MATERIALS
SCHW,CHARLES SCHWAB CORP.,,,FINANCIALS
CRL,CHARLES RIVER LABS,20210514,,HEALTHCARE
CHTR,CHARTER COMMUNICATIONS INC.,20160908,,TELECOMMUNICATIONS SERVICES
CHK,CHESAPEAKE ENERGY CORP.,,20180319,ENERGY
CVX,CHEVRON CORP.,,,ENERGY
CMG,CHIPOTLE MEXICAN GRILL INC.,20110427,,CONSUMER CYCLICALS
CB1,CHUBB CORP.,,20160116,FINANCIALS
CB,CHUBB LTD.,20100714,,FINANCIALS
CHD,CHURCH & DWIGHT,20151229,,CONSUMER NON CYCLICALS
CDW,CDW CORP.,20190923,,TECHNOLOGY
CIEN,CIENA CORP.,,20091218,TECHNOLOGY
CI,CIGNA CORP.,,,HEALTHCARE
XEC,CIMAREX ENERGY CO.,20140620,20200302,ENERGY
CINF,CINCINNATI FINANCIAL CORP.,,,FINANCIALS
CTAS,CINTAS CORP.,,,INDUSTRIALS
CSCO,CISCO SYSTEMS INC.,,,TECHNOLOGY
CIT,CIT GROUP INC.,,20090724,FINANCIALS
C,CITIGROUP INC.,,,FINANCIALS
CFG,CITIZENS FINANCIAL GROUP,20160201,,FINANCIALS
CTXS,CITRIX SYSTEMS INC.,20221003,,TECHNOLOGY
CLF,CLIFFS NATURAL RESOURCES INC.,20091218,20140402,BASIC MATERIALS
CLX,CLOROX CO.,,,CONSUMER NON CYCLICALS
CME,CME GROUP INC.,,,FINANCIALS
CMS,CMS ENERGY CORP.,,,UTILITIES
TPR,TAPESTRY INC.,,,CONSUMER CYCLICALS
KO,COCA-COLA CO.,,20160531,CONSUMER NON CYCLICALS
CCEP,COCA-COLA ENTERPRISES INC.,,,CONSUMER NON CYCLICALS
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP.,,,TECHNOLOGY
CL,COLGATE-PALMOLIVE CO.,,,CONSUMER NON CYCLICALS
CPGX,COLUMBIA PIPELINE PARTNERS L.P.,20150702,20160705,ENERGY
CMCSA,COMCAST CORP.,,,TELECOMMUNICATIONS SERVICES
CMA,COMERICA INC.,,,FINANCIALS
CDNS,CADENCE DESIGN SYSTEMS INC.,20170918,,TECHNOLOGY
CBH,COMMERCE BANCORP INC.,,20080331,FINANCIALS
CPRT,COPART INC.,20180702,,INDUSTRIALS
DXC,DXC TECHNOLOGY CORP.,20170403,20151201-20231003,TECHNOLOGY
CPWR,COMPUWARE CORP.,,20111231,TECHNOLOGY
CMVT,COMVERSE TECHNOLOGY INC.,,20070131,TELECOMMUNICATIONS SERVICES
CAG,CONAGRA FOODS INC.,,,CONSUMER NON CYCLICALS
CXO,CONCHO RESOURCES,20160222,20210121,ENERGY
COP,CONOCOPHILLIPS CO.,,,ENERGY
CNX,CONSOL ENERGY INC.,,20160304,ENERGY
ED,CONSOLIDATED EDISON INC.,,,UTILITIES
STZ,CONSTELLATION BRANDS INC.,,,CONSUMER NON CYCLICALS
CEG,CONSTELLATION ENERGY GROUP INC.,20220202,20120313,UTILITIES
CVG,CONVERGYS CORP.,,20091218,TECHNOLOGY
CBE,COOPER INDUSTRIES PLC,20111118,20090928-20121203,INDUSTRIALS
GLW,CORNING INC.,,,TECHNOLOGY
CTVA,CORTEVA INC.,20190603,,BASIC MATERIALS
COST,COSTCO WHOLESALE CORP.,,,CONSUMER NON CYCLICALS
COTY,COTY INC.,20160930,20200921,CONSUMER NON CYCLICALS
CVH,COVENTRY HEALTH CARE INC.,,20130508,HEALTHCARE
COV,COVIDIEN PLC,20070629-20110228,20090528-20150127,HEALTHCARE
CCI,CROWN CASTLE INTERNATIONAL CORP.,20120313,,REAL ESTATE
CSRA,CSRA INC.,20151201,20180404,TECHNOLOGY
CSX,CSX CORP.,,,INDUSTRIALS
CMI,CUMMINS INC.,,,INDUSTRIALS
CVS,CVS CAREMARK CORP.,,,HEALTHCARE
DHI,D.R. HORTON INC.,20050622,,CONSUMER CYCLICALS
DHR,DANAHER CORP.,,,HEALTHCARE
DRI,DARDEN RESTAURANTS INC.,,,CONSUMER CYCLICALS
DVA,DAVITA HEALTHCARE PARTNERS INC.,20080731,,HEALTHCARE
DF,DEAN FOODS CO.,,20130523,CONSUMER NON CYCLICALS
DE,DEERE & CO.,,,INDUSTRIALS
DELL,DELL INC.,,20131021,TECHNOLOGY
DLPH,DELPHI AUTOMOTIVE PLC,20121224,20201007,CONSUMER CYCLICALS
DAL,DELTA AIR LINES INC.,20130910,,INDUSTRIALS
DNR,DENBURY RESOURCES INC.,,20150323,ENERGY
XRAY,DENTSPLY INTERNATIONAL INC.,20081113,,HEALTHCARE
DVN,DEVON ENERGY CORP.,,,ENERGY
ATGE,ADTALEM GLOBAL EDUCATION INC.,,20121001,CONSUMER CYCLICALS
DO,DIAMOND OFFSHORE DRILLING INC.,20090220,20160930,ENERGY
DLR,DIGITAL REALTY TRUST,20160518,,REAL ESTATE
DDS,DILLARD'S INC.,,20081021,CONSUMER CYCLICALS
DTV,DIRECTV,20061130,20150729,CONSUMER CYCLICALS
DFS,DISCOVER FINANCIAL SERVICES,20070629,,FINANCIALS
WBD,WARNER BROS DISCOVERY INC.,20100301,,TELECOMMUNICATIONS SERVICES
DISCB,DISCOVERY COMMUNICATIONS INC.,20081017,20220403,TELECOMMUNICATIONS SERVICES
DISCK,DISCOVERY COMMUNICATIONS INC.,20140807,20220403,TELECOMMUNICATIONS SERVICES
DISH,DISH NETWORK CORP.,20170313,20230620,TELECOMMUNICATIONS SERVICES
DG,DOLLAR GENERAL CORP.,20121203,20070706,CONSUMER CYCLICALS
DLTR,DOLLAR TREE INC.,20111216,,CONSUMER CYCLICALS
D,DOMINION RESOURCES INC. (VIRGINIA),,,UTILITIES
DOV,DOVER CORP.,,,INDUSTRIALS
DOW,DOW CHEMICAL CO.,,,BASIC MATERIALS
KDP,DR PEPPER SNAPPLE GROUP INC.,20220621,20180702,CONSUMER NON CYCLICALS
DTE,DTE ENERGY CO.,,,UTILITIES
DUK,DUKE ENERGY CORP.,,,UTILITIES
DRE,DUKE REALTY CORP,20170726,20221003,REAL ESTATE
DNB,DUN & BRADSTREET CORP.,20120626,20170405,INDUSTRIALS
DYN,DYNEGY INC.,,20091218,UTILITIES
ETFC,E*TRADE FINANCIAL CORP.,,20201007,FINANCIALS
DD,E.I. DUPONT DE NEMOURS & CO.,20190402,20170901,BASIC MATERIALS
SSP,E.W. SCRIPPS CO.,,20080630,TELECOMMUNICATIONS SERVICES
EMN,EASTMAN CHEMICAL CO.,,,BASIC MATERIALS
ENPH,ENPHASE ENERGY,20210107,,TECHNOLOGY
KODK,EASTMAN KODAK CO.,,20101217,TECHNOLOGY
ETN,EATON CORP. PLC,,,INDUSTRIALS
EBAY,EBAY INC.,,,CONSUMER CYCLICALS
ECL,ECOLAB INC.,,,BASIC MATERIALS
EIX,EDISON INTERNATIONAL,,,UTILITIES
EW,EDWARDS LIFESCIENCES CORP.,20110331,,HEALTHCARE
EP,EL PASO CORP.,,20120517,ENERGY
EA,ELECTRONIC ARTS INC.,,,TELECOMMUNICATIONS SERVICES
LLY,ELI LILLY & CO.,,,HEALTHCARE
EMC,EMC CORP.,,20160908,TECHNOLOGY
EMR,EMERSON ELECTRIC CO.,,,INDUSTRIALS
ENDP,ENDO INTERNATIONAL,20150127,20170302,HEALTHCARE
VAL,VALARIS PLC,20120731,20091222-20160330,ENERGY
ETR,ENTERGY CORP.,,,UTILITIES
EVHC,ENVISION HEALTHCARE CORP.,20161202,20181011,HEALTHCARE
EOG,EOG RESOURCES INC.,,,ENERGY
EPAM,EPAM SYSTEMS ORF,20211214,,TECHNOLOGY
EQT,EQT CORP.,20221003,20181113,ENERGY
EFX,EQUIFAX INC.,,,INDUSTRIALS
EQIX,EQUINIX,20150323,,REAL ESTATE
EOP,EQUITY OFFICE PROPERTIES TRUST,,20070207,FINANCIALS
EQR,EQUITY RESIDENTIAL,,,REAL ESTATE
ESS,ESSEX PROPERTY TRUST INC.,20140402,,REAL ESTATE
EL,ESTEE LAUDER COS.,20060104,,CONSUMER NON CYCLICALS
EVRG,EVERGY,20180605,,UTILITIES
EXC,EXELON CORP.,,,UTILITIES
EXPE,EXPEDIA INC.,20070928,,CONSUMER CYCLICALS
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC.,20071010,,INDUSTRIALS
ESRX,EXPRESS SCRIPTS INC.,,20181224,CONSUMER NON CYCLICALS
EXR,EXTRA SPACE STORAGE,20160119,,REAL ESTATE
XOM,EXXON MOBIL CORP.,,,ENERGY
FFIV,F5 NETWORKS INC.,20101217,,TECHNOLOGY
META,META PLATFORMS INC.,20131221,,TELECOMMUNICATIONS SERVICES
FDO,FAMILY DOLLAR STORES INC.,,20150708,CONSUMER CYCLICALS
FNM,FANNIE MAE,,20080910,FINANCIALS
FAST,FASTENAL CO.,20080910,,INDUSTRIALS
FTNT,FORTINET INC.,20181011,,TECHNOLOGY
FRT,FEDERAL REALTY INVESTMENT TRUST CO.,20160201,,REAL ESTATE
FHI,FEDERATED INVESTORS INC.,,20121231,FINANCIALS
FDX,FEDEX CORP.,,,INDUSTRIALS
FIS,FIDELITY NATIONAL INFORMATION SERVICES INC.,20061109,,TECHNOLOGY
KATE,KATE SPADE & CO.,,20120626,CONSUMER CYCLICALS
FITB,FIFTH THIRD BANCORP,,,FINANCIALS
FDC,FIRST DATA CORP.,,20070928,INDUSTRIALS
FHN,FIRST HORIZON NATIONAL CORP.,,20130621,FINANCIALS
FRC,FIRST REPUBLIC BANK,20190102,20230504,FINANCIALS
FSLR,FIRST SOLAR INC.,20091016-20221219,20170320,TECHNOLOGY
FE,FIRSTENERGY CORP.,,,UTILITIES
FI,FISERV INC.,,,TECHNOLOGY
FLIR,FLIR SYSTEMS INC.,20081231,20210514,TECHNOLOGY
FLS,FLOWSERVE CORP.,,20210322,INDUSTRIALS
FLR,FLUOR CORP.,,20190603,INDUSTRIALS
FMC,FMC CORP.,20090818,,BASIC MATERIALS
FTI,TECHNIPFMC PLC,20090528,20210212,ENERGY
FL,FOOT LOCKER INC.,20160404,20190819,CONSUMER CYCLICALS
F,FORD MOTOR CO.,,,CONSUMER CYCLICALS
FRX,FOREST LABORATORIES INC.,,20140701,HEALTHCARE
FTV,FORTIVE CORP.,20160705,,INDUSTRIALS
FBIN,FORTUNE BRANDS HOME & SECURITY,20160622,20221219,CONSUMER CYCLICALS
FOSL,FOSSIL GROUP INC.,20120403,20160105,CONSUMER CYCLICALS
BEN,FRANKLIN RESOURCES INC.,,,FINANCIALS
FDS,FACTSET RESEARCH SYSTEMS,20211220,,FINANCIALS
FRE,FREDDIE MAC,,20080910,FINANCIALS
FCX,FREEPORT-MCMORAN COPPER & GOLD INC.,,,BASIC MATERIALS
FLT,FLEETCOR TECHNOLOGIES INC.,20180620,,TECHNOLOGY
FSL,FREESCALE SEMICONDUCTOR INC.,,20061130,TECHNOLOGY
FTR,FRONTIER COMMUNICATIONS CORP.,,20170320,TELECOMMUNICATIONS SERVICES
GME,GAMESTOP CORP.,,20160425,CONSUMER CYCLICALS
TGNA,TEGNA INC.,,20170602,TELECOMMUNICATIONS SERVICES
GPS,GAP INC.,,20220203,CONSUMER CYCLICALS
GRMN,GARMIN LTD.,20121212,,INDUSTRIALS
IT,GARTNER INC.,20170405,,TECHNOLOGY
GTW,GATEWAY INC.,,20060731,TECHNOLOGY
GD,GENERAL DYNAMICS CORP.,,,INDUSTRIALS
GE,GENERAL ELECTRIC CO.,,,INDUSTRIALS
GGP,GENERAL GROWTH PROPERTIES INC.,20070629-20131210,20081112-20180628,FINANCIALS
GIS,GENERAL MILLS INC.,,,CONSUMER NON CYCLICALS
GM,GENERAL MOTORS COMPANY,20130606,,CONSUMER CYCLICALS
GPC,GENUINE PARTS CO.,,,CONSUMER CYCLICALS
GNW,GENWORTH FINANCIAL INC.,,20151118,FINANCIALS
GENZ,GENZYME GENERAL,,20110401,HEALTHCARE
GILD,GILEAD SCIENCES INC.,,,HEALTHCARE
G,GILLETTE CO.,,20050530,CONSUMER NON CYCLICALS
GPN,GLOBAL PAYMENTS,20160425,,TECHNOLOGY
GS,GOLDMAN SACHS GROUP INC.,,,FINANCIALS
GR,GOODRICH CORP.,,20120731,INDUSTRIALS
GT,GOODYEAR TIRE & RUBBER CO.,,20190227,CONSUMER CYCLICALS
GOOGL,GOOGLE INC.,20140403,,TELECOMMUNICATIONS SERVICES
GOOG,GOOGLE INC,20060323,,TELECOMMUNICATIONS SERVICES
HNZ,HEINZ CORP.,,20130606,CONSUMER NON CYCLICALS
KHC,THE KRAFT HEINZ COMPANY,20150702,,CONSUMER NON CYCLICALS
HRB,H&R BLOCK INC.,,20200921,CONSUMER CYCLICALS
KRFT,KRAFT FOODS GROUP INC.,20121002,20150702,CONSUMER NON CYCLICALS
HAL,HALLIBURTON CO.,,,ENERGY
HBI,HANESBRANDS,20150323,20211220,CONSUMER CYCLICALS
HOG,HARLEY-DAVIDSON INC.,,20200622,CONSUMER CYCLICALS
HAR,HARMAN INTERNATIONAL INDUSTRIES INC.,,20170316,CONSUMER CYCLICALS
LHX,L3HARRIS CORP.,20080916,,INDUSTRIALS
HIG,HARTFORD FINANCIAL SERVICES GROUP INC.,,,FINANCIALS
HAS,HASBRO INC.,,,CONSUMER CYCLICALS
HCA,HCA HOLDINGS INC.,20150127,20061116,HEALTHCARE
PEAK,HEALTHPICK PROPERTIES,20080331,,REAL ESTATE
HWM,HOWMET AEROSPACE INC.,20200401,,CONSUMER NON CYCLICALS-INDUSTRIALS
WELL,WELLTOWER INC.,20090126,,REAL ESTATE
HMA,HEALTH MANAGEMENT ASSOCIATES INC.,,20070301,HEALTHCARE
HP,HELMERICH & PAYNE INC.,20100301,,ENERGY
HSIC,HENRY SCHEIN,20150318,,HEALTHCARE
HPC,HERCULES INC.,,20081113,BASIC MATERIALS
HSY,HERSHEY CO.,,,CONSUMER NON CYCLICALS
HES,HESS CORP.,,,ENERGY
PKG,PACKAGING CORP. OF AMERICA,20170726,,BASIC MATERIALS
DINO,HF SINCLAIR,20180618,20210604,ENERGY
HPE,HEWLETT PACKARD ENTERPRISE CO.,20151102,,TECHNOLOGY
HSH,HILLSHIRE BRANDS CO.,,20120629,CONSUMER NON CYCLICALS
HLT,HILTON WORLDWIDE HOLDINGS INC.,20170619,,CONSUMER CYCLICALS
HOLX,HOLOGIC INC.,20160330,,HEALTHCARE
HD,HOME DEPOT INC.,,,CONSUMER CYCLICALS
HON,HONEYWELL INTERNATIONAL INC.,,,INDUSTRIALS
HRL,HORMEL FOODS CORP.,20090224,,CONSUMER NON CYCLICALS
HSP,HOSPIRA INC.,,20150902,HEALTHCARE
HST,HOST HOTELS & RESORTS INC.,20070312,,REAL ESTATE
HPQ,HP INC.,,,TECHNOLOGY
HU,HUDSON CITY BANCORP INC.,,20151102,FINANCIALS
HUM,HUMANA INC.,,,HEALTHCARE
HII,HUNTINGTON INGALLS INDUSTRIES INC.,20180103,,INDUSTRIALS
HBAN,HUNTINGTON BANCSHARES INC.,,,FINANCIALS
IAC,IAC/INTERACTIVECORP.,20061130,20080820,TECHNOLOGY
IEX,IDEX CORP.,20190809,,INDUSTRIALS
IDXX,IDEXX LABORATORIES INC.,20170105,,HEALTHCARE
INFO,IHS MARKIT LTD.,20170602,20220228,INDUSTRIALS
ITW,ILLINOIS TOOL WORKS INC.,,,INDUSTRIALS
ILMN,ILLUMINA INC.,20151119,,HEALTHCARE
INCY,INCYTE CORP.,20170228,,HEALTHCARE
IR,INGERSOLL-RAND PLC,20101117,20090604,INDUSTRIALS
TEG,INTEGRYS ENERGY GROUP INC.,20070207,20150701,UTILITIES
INTC,INTEL CORP.,,,TECHNOLOGY
ICE,INTERCONTINENTALEXCHANGE INC.,20070928,,FINANCIALS
IBM,INTERNATIONAL BUSINESS MACHINES CORP.,,,TECHNOLOGY
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,,,BASIC MATERIALS
IGT,INTERNATIONAL GAME TECHNOLOGY,,20140620,CONSUMER CYCLICALS
IP,INTERNATIONAL PAPER CO.,,,BASIC MATERIALS
IPG,INTERPUBLIC GROUP OF COS.,,,TELECOMMUNICATIONS SERVICES
IPGP,IPG PHOTONICS CORP.,20180307,20220621,TECHNOLOGY
INTU,INTUIT INC.,,,TECHNOLOGY
ISRG,INTUITIVE SURGICAL INC.,,,HEALTHCARE
IVZ,INVESCO LTD.,20080820,,FINANCIALS
IRM,IRON MOUNTAIN INC.,20090106,,REAL ESTATE
ITT,ITT CORP.,,20111031,INDUSTRIALS
JBHT,J.B. HUNT TRANSPORT SERVICES INC.,20150701,,INDUSTRIALS
JCP,J.C. PENNEY CO. INC.,,20131202,CONSUMER CYCLICALS
SJM,J.M. SMUCKER CO.,20081105,,CONSUMER NON CYCLICALS
JBL,JABIL CIRCUIT INC.,20231218,20141105,TECHNOLOGY
J,JACOBS ENGINEERING GROUP INC.,20071025,,INDUSTRIALS
JNS,JANUS CAPITAL GROUP INC.,,20111118,FINANCIALS
VIAV,JDS UNIPHASE CORP.,,20131221,TECHNOLOGY
JNJ,JOHNSON & JOHNSON,,,HEALTHCARE
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,20100826,20160906,INDUSTRIALS
JNY,JONES GROUP INC.,,20090224,CONSUMER CYCLICALS
JOY,JOY GLOBAL INC.,20110225,20151007,BASIC MATERIALS
JPM,JPMORGAN CHASE & CO.,,,FINANCIALS
JNPR,JUNIPER NETWORKS INC.,20060525,,TECHNOLOGY
KSU,KANSAS CITY SOUTHERN,20130523,20211214,INDUSTRIALS
KBH,KB HOME,,20091218,CONSUMER CYCLICALS
K,KELLOGG CO.,,,CONSUMER NON CYCLICALS
GMCR,KEURIG GREEN MOUNTAIN INC.,20140321,20160307,CONSUMER NON CYCLICALS
KEY,KEYCORP.,,,FINANCIALS
KEYS,KEYSIGHT TECHNOLOGIES INC.,20181106,,TECHNOLOGY
